;name;salary_from;salary_to;currency;experience;schedule;schedule;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
946;Разработчик python (Senior/Lead);;;;Более 6 лет;Удаленная работа;Удаленная работа;Python;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
955;Старший системный администратор Linux / Инженер внедрения;;;;Более 6 лет;Полный день;Полный день;Linux;Bash;Python;Git;MySQL;;;;;;;;;;;;;;;;;;;;;;;;;
965;Ведущий разработчик (Python+JavaScript);280000.0;350000.0;RUR;Более 6 лет;Удаленная работа;Удаленная работа;Python;Linux;PostgreSQL;Git;TypeScript;JavaScript;Docker;Ubuntu Server;Kubernetes;;;;;;;;;;;;;;;;;;;;;
966;Разработчик python (Senior/Lead);;;;Более 6 лет;Удаленная работа;Удаленная работа;Python;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
972;Middle/Senior Python-разработчик в команду Добычи данных;;;;Более 6 лет;Полный день;Полный день;Docker;PostgreSQL;k8s;Python;;;;;;;;;;;;;;;;;;;;;;;;;;
1001;Lead Data Engineer (Remote);5000.0;7000.0;USD;Более 6 лет;Гибкий график;Гибкий график;Python;Английский язык;Linux;SQL;PostgreSQL;ClickHouse;AWS;;;;;;;;;;;;;;;;;;;;;;;
1005;Python developer (SMS gateway development);1800.0;2000.0;EUR;Более 6 лет;Удаленная работа;Удаленная работа;Python;PostgreSQL;Git;Linux;Redis;MySQL;Django Framework;Docker;API;Flask;aiohttp;NoSQL;asyncio;queries;parsing;SMPP protocol;SMS gateway;;;;;;;;;;;;;
1127;Middle/Senior Python-разработчик в команду Добычи данных;;;;Более 6 лет;Полный день;Полный день;Docker;PostgreSQL;k8s;Python;;;;;;;;;;;;;;;;;;;;;;;;;;
1155;Senior Backed Developer to Blockchain (Python);5000.0;6000.0;USD;Более 6 лет;Полный день;Полный день;Python;Linux;SQL;Rust;Английский язык;;;;;;;;;;;;;;;;;;;;;;;;;
1160;Ведущий программист Python;220000.0;350000.0;RUR;Более 6 лет;Полный день;Полный день;ООП;HTML;CSS;Jira;Python;JavaScript;Design Patterns;SQL;;;;;;;;;;;;;;;;;;;;;;
1176;Senior Python developer (MLOps);3500.0;;EUR;Более 6 лет;Удаленная работа;Удаленная работа;Python;Linux;Docker;Bash;Git;Data Science;ML;DevOps;Airflow;Kafka;MongoDB;Clickhouse;;;;;;;;;;;;;;;;;;
1177;Аналитик данных;;;;Более 6 лет;Удаленная работа;Удаленная работа;Python;Ведение переговоров;Управление персоналом;Google Colab;Pandas;;;;;;;;;;;;;;;;;;;;;;;;;
1261;Ведущий программист Python;220000.0;350000.0;RUR;Более 6 лет;Полный день;Полный день;ООП;HTML;CSS;Jira;Python;JavaScript;Design Patterns;SQL;;;;;;;;;;;;;;;;;;;;;;
1269;Senior Python developer (MLOps);3500.0;;EUR;Более 6 лет;Удаленная работа;Удаленная работа;Python;Linux;Docker;Bash;Git;Data Science;ML;DevOps;Airflow;Kafka;MongoDB;Clickhouse;;;;;;;;;;;;;;;;;;
1320;Ведущий Python разработчик;;;;Более 6 лет;Полный день;Полный день;Python;MongoDB;Redis;Flask;PostgreSQL;JavaScript;;;;;;;;;;;;;;;;;;;;;;;;
1342;Senior Python developer (MLOps);3500.0;;EUR;Более 6 лет;Удаленная работа;Удаленная работа;Python;Linux;Docker;Bash;Git;Data Science;ML;DevOps;Airflow;Kafka;MongoDB;Clickhouse;;;;;;;;;;;;;;;;;;
1377;Senior Python developer (MLOps);3500.0;;EUR;Более 6 лет;Удаленная работа;Удаленная работа;Python;Linux;Docker;Bash;Git;Data Science;ML;DevOps;Airflow;Kafka;MongoDB;Clickhouse;;;;;;;;;;;;;;;;;;
1399;Аналитик данных;;;;Более 6 лет;Удаленная работа;Удаленная работа;Python;Ведение переговоров;Управление персоналом;Google Colab;Pandas;;;;;;;;;;;;;;;;;;;;;;;;;
1509;Backend-разработчик Django;;;;Более 6 лет;Полный день;Полный день;Python;Django Framework;Git;Docker;;;;;;;;;;;;;;;;;;;;;;;;;;
1635;Python TeamLead разработки в Мету (bemeta.co);;;;Более 6 лет;Удаленная работа;Удаленная работа;Python;Управление проектами;Vue.js;Nuxt.js;;;;;;;;;;;;;;;;;;;;;;;;;;
1656;Python-разработчик во внутренний каталог сервисов;;;;Более 6 лет;Полный день;Полный день;Python;SQL;Django Framework;;;;;;;;;;;;;;;;;;;;;;;;;;;
1672;Senior Python Engineer (remote);;;;Более 6 лет;Полный день;Полный день;Python;Blockchain;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1684;Senior Python Engineer (remote);;;;Более 6 лет;Полный день;Полный день;Python;Blockchain;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1694;Python Senior developer;;;;Более 6 лет;Гибкий график;Гибкий график;Fluent English;Django;Python;MySQL;Microservices;Docker;AWS;React;Kubernetes;;;;;;;;;;;;;;;;;;;;;
1700;Senior Backend Python Developer платформенные компоненты (MTS AI);;;;Более 6 лет;Удаленная работа;Удаленная работа;Python;Kubernetes;Docker;SQLAlchemy;asyncio;Go;Платформенные компоненты;;;;;;;;;;;;;;;;;;;;;;;
1715;Senior SDET (Python);;;;Более 6 лет;Полный день;Полный день;Английский язык;Git;Python;Atlassian Jira;Jenkins;Mercurial;;;;;;;;;;;;;;;;;;;;;;;;
1777;Senior Backend Developer (Python);;;;Более 6 лет;Полный день;Полный день;PostgreSQL;Python;Docker;FastAPI;Сетевые технологии;;;;;;;;;;;;;;;;;;;;;;;;;
1792;Аналитик-разработчик метрик качества симуляции в команду беспилотных технологий;;;;Более 6 лет;Полный день;Полный день;Python;SQL;Математическая статистика;;;;;;;;;;;;;;;;;;;;;;;;;;;
1793;Аналитик-разработчик метрик качества симуляции в команду беспилотных технологий;;;;Более 6 лет;Полный день;Полный день;Python;SQL;Математическая статистика;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;Аналитик-разработчик метрик качества симуляции в команду беспилотных технологий;;;;Более 6 лет;Полный день;Полный день;Python;SQL;Математическая статистика;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;Аналитик-разработчик метрик качества симуляции в команду беспилотных технологий;;;;Более 6 лет;Полный день;Полный день;Python;SQL;Математическая статистика;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;Разработчик бортовых алгоритмов;;;;Более 6 лет;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1879;Разработчик Python (Web);200000.0;;RUR;Более 6 лет;Удаленная работа;Удаленная работа;Python;SQL;REST;Docker;;;;;;;;;;;;;;;;;;;;;;;;;;
1965;Lead QA/SDET (python);;;;Более 6 лет;Полный день;Полный день;Python;QA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Преподаватель IT-дисциплин (младшая школа);;120000.0;RUR;Нет опыта;Полный день;Полный день;Преподаватель;C++;Обучение;Обучение и развитие;HTML;;;;;;;;;;;;;;;;;;;;;;;;;
31;Преподаватель компьютерных курсов для детей;;;;Нет опыта;Полный день;Полный день;SketchUp;Unity;Unity 3D;Python;Преподаватель;GIMP;Blender 3D;Робототехника;Разработка компьютерных Игр;Arduino;;;;;;;;;;;;;;;;;;;;
41;Middle+ DevOps специалист;;;;Нет опыта;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;"Преподаватель компьютерных курсов ""Разработка программного обеспечения""";;50000.0;RUR;Нет опыта;Гибкий график;Гибкий график;C#;Python;MySQL;ООП;SQL;C++;С#;Java;MS SQL;CSS;UML;Базы данных;Visual Studio C#;HTML;Autodesk 3ds Max;MS Visual Studio;Веб-программирование;HTML/CSS;Git;JavaScript;HTML5;CSS3;Adobe Photoshop;Ajax;Преподаватель;Microsoft Visual Studio;;;;
50;Преподаватель IT-дисциплин (ВШЭ, Профсоюзная);;120000.0;RUR;Нет опыта;Полный день;Полный день;Преподаватель;Обучение;Работа в команде;Организация учебного процесса;Грамотная речь;;;;;;;;;;;;;;;;;;;;;;;;;
83;Ночной преподаватель программирования для детей;55000.0;90000.0;RUR;Нет опыта;Удаленная работа;Удаленная работа;Преподаватель;Python;HTML;CSS;Lua;Обучение;Работа с детьми;Индивидуальное обучение;Управление временем;Обучение и развитие;Веб-программирование;Любовь к детям;Навыки межличностного общения;Грамотная устная и письменная речь;Педагогика;Zoom;Индивидуальный подход;Roblox;Scratch;Unity;Figma;Ночной график;;;;;;;;
95;Лингвист-аналитик (SaaS, IT продукт, удаленно);50000.0;60000.0;RUR;Нет опыта;Удаленная работа;Удаленная работа;Python;SQL;NLP;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;Лингвист-аналитик (SaaS, IT продукт, удаленно);50000.0;60000.0;RUR;Нет опыта;Удаленная работа;Удаленная работа;Python;SQL;NLP;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;Python Developer Trainee;;;;Нет опыта;Полный день;Полный день;Python;SQL;Linux;PostgreSQL;Английский язык;;;;;;;;;;;;;;;;;;;;;;;;;
115;Преподаватель IT-дисциплин (средняя школа);;120000.0;RUR;Нет опыта;Полный день;Полный день;Преподаватель;Blender 3D;C++;Обучение;ООП;;;;;;;;;;;;;;;;;;;;;;;;;
128;Системный администратор;;;;Нет опыта;Полный день;Полный день;Администрирование;Базы данных;Администрирование серверов Linux;Python;MySQL;Zabbix;ELK;Информационная безопасность;Linux;;;;;;;;;;;;;;;;;;;;;
142;Инженер технической поддержки;40000.0;;RUR;Нет опыта;Сменный график;Сменный график;Деловая переписка;Базы данных;Техническая поддержка;Linux;Bash;QA;Администрирование;SQL;TCP/IP;;;;;;;;;;;;;;;;;;;;;
144;Преподаватель робототехники / программирования;30000.0;75000.0;RUR;Нет опыта;Гибкий график;Гибкий график;Обучение и развитие;Преподаватель;Работа в команде;Грамотная речь;робототехника;Программирование;Электроника;Моделирование;Детская психология;Python;Групповое обучение;Пользователь ПК;Организация учебного процесса;Общая психология;роботехника;;;;;;;;;;;;;;;
146;Junior Python Developer / Data Engineer;;;;Нет опыта;Полный день;Полный день;Python;Django Framework;Data Mining;PostgreSQL;SQL;Airflow;MySQL;Ansible;Docker;Helm;Kubernetes;;;;;;;;;;;;;;;;;;;
150;Инженер-программист (робототехника);50000.0;;RUR;Нет опыта;Полный день;Полный день;Компас-3D;SolidWorks;Python;Автоматизация производства;Java;3D Моделирование;C++;Компас;Автоматизация;Машиностроение;;;;;;;;;;;;;;;;;;;;
