;name;salary_from;salary_to;currency;experience;schedule;schedule;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
329;Разработчик Django/Python Developer;60000.0;;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;Django Framework;REST API;API;Django;HTML;jQuery;JavaScript;PostgreSQL;;;;;;;;;;;;;;;;;;;;;
331;Python Engineer;2500.0;;USD;От 1 года до 3 лет;Полный день;Полный день;Linux;Python;PostgreSQL;;;;;;;;;;;;;;;;;;;;;;;;;;;
335;Python Developer;;;;От 1 года до 3 лет;Гибкий график;Гибкий график;Python;MySQL;Flask;Django;Django Rest Framework;PyAPI;PyCharm;Веб-программирование;Backend;;;;;;;;;;;;;;;;;;;;;
337;Python-разработчик (middle);160000.0;;RUR;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Python;SQL;PostgreSQL;;;;;;;;;;;;;;;;;;;;;;;;;;;
339;Data engineer;;;;От 1 года до 3 лет;Полный день;Полный день;Docker;Python;ETL;Git;SQL;MySQL;PostgreSQL;Clickhouse;Apache Airflow;BigQuery;;;;;;;;;;;;;;;;;;;;
340;Младший дата-инженер;;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Python;SQL;Spark;SCALA;;;;;;;;;;;;;;;;;;;;;;;;;;
341;Junior+/Middle Python Developer;;;;От 1 года до 3 лет;Полный день;Полный день;Git;Python;PostgreSQL;Flask;Docker;;;;;;;;;;;;;;;;;;;;;;;;;
347;Junior+ программист-разработчик на Python;;150000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;PostgreSQL;MySQL;MongoDB;Redis;;;;;;;;;;;;;;;;;;;;;;;;;
348;Trainee Python Developer;;;;От 1 года до 3 лет;Полный день;Полный день;Python;Английский язык;SQL;Flask;Django Framework;;;;;;;;;;;;;;;;;;;;;;;;;
349;Аналитик данных Python и VBA (HR);;;;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;VBA;Power BI;MS PowerPoint;MS Excel;;;;;;;;;;;;;;;;;;;;;;;;
351;Математик;;;;От 1 года до 3 лет;Полный день;Полный день;Python;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
356;Инженер по тестированию (python);;;;От 1 года до 3 лет;Полный день;Полный день;Python;Автоматизация тестирования;Git;Postman;SoupUI;API;Тестирование;HTTP;Теория тестирования;;;;;;;;;;;;;;;;;;;;;
357;Python-разработчик;;;;От 1 года до 3 лет;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358;Стажёр в отдел Риск-аналитики;;;;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;Математическая статистика;Статистический анализ;Скоринг;Бизнес-анализ;МФО;Анализ рисков;Ретро-тестирование;Машинное обучение;;;;;;;;;;;;;;;;;;;;
359;Python-разработчик в R&D отдел;100000.0;150000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;ООП;HTTP;Python;Git;;;;;;;;;;;;;;;;;;;;;;;;;;
360;Python разработчик (Middle+);1000.0;;USD;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Оптимизация запросов;Пеший туризм;Русский язык;Работа в условиях многозадачности;Оптимизация;Удаленная работа;PostgreSQL;RSpec;Высшее образование;API;REST API;Django Rest Framework;Оптимизация кода;Django Framework;Backend;Python;Linux;MySQL;SQL;Git;ООП;;;;;;;;;
362;Инженер-математик;90000.0;120000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;MATLAB;Python;C++;Git;Математическое моделирование;Математическая статистика;;;;;;;;;;;;;;;;;;;;;;;;
366;Разработчик программного обеспечения и баз данных (Data science);105000.0;;RUR;От 1 года до 3 лет;Полный день;Полный день;SQL;Python;R;dplyr;machine learning;deep learning;Big Data;hadoop;pytorch;;;;;;;;;;;;;;;;;;;;;
368;Data Analyst / Аналитик данных;100000.0;120000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Data Analysis;SQL;Python;Groovy;Bash;Apache Superset;;;;;;;;;;;;;;;;;;;;;;;;
372;Программист Python;;;;От 1 года до 3 лет;Полный день;Полный день;Python;PostgreSQL;Django Framework;SQL;Flask;;;;;;;;;;;;;;;;;;;;;;;;;
373;Программист Python;115000.0;220000.0;RUR;От 1 года до 3 лет;Гибкий график;Гибкий график;Python;SQL;Работа в команде;;;;;;;;;;;;;;;;;;;;;;;;;;;
375;AntiFraud Data Analyst;;;;От 1 года до 3 лет;Полный день;Полный день;MS SQL;Python;;;;;;;;;;;;;;;;;;;;;;;;;;;;
376;"Автор проверочного кода на курс ""Python-разработчик""";;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Python;Docker;Django Framework;;;;;;;;;;;;;;;;;;;;;;;;;;;
378;Data-analyst;;;;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;Hadoop;Teradata;Spark;Hive;Анализ данных;Agile Project Management;Big Data;;;;;;;;;;;;;;;;;;;;;
381;Программист Python (middle);70000.0;90000.0;RUR;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Python;Git;Linux;Django Framework;JavaScript;HTML/CSS;Bootstrap;jQuery;Memcached;Flask;PyCharm;Удаленная работа;JS;;;;;;;;;;;;;;;;;
382;Backend разработчик Python midlle;;;;От 1 года до 3 лет;Полный день;Полный день;Python;Django Framework;PostgreSQL;MySQL;Scrum;SQL;MS SQL;;;;;;;;;;;;;;;;;;;;;;;
384;Data analyst;;;;От 1 года до 3 лет;Полный день;Полный день;Python;MS SQL;PyCharm;Jupyter Notebook;;;;;;;;;;;;;;;;;;;;;;;;;;
388;Python Программист (игровой бот);80000.0;150000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;Git;Atlassian Jira;Работа в команде;;;;;;;;;;;;;;;;;;;;;;;;;;
392;Программист Python;80000.0;150000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;Redis;Git;Atlassian Jira;Работа в команде;Docker;;;;;;;;;;;;;;;;;;;;;;;;
393;Специалист по машинному обучению в Поиск (команда подсказок);;;;От 1 года до 3 лет;Полный день;Полный день;C++;Алгоритмы и структуры данных;Machine learning;;;;;;;;;;;;;;;;;;;;;;;;;;;
394;Python Back-end Разработчик / Python Back-end Developer;;;;От 1 года до 3 лет;Гибкий график;Гибкий график;Python;Linux;PostgreSQL;Flask;Redis;Docker;;;;;;;;;;;;;;;;;;;;;;;;
397;Программист Python;125000.0;243000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
398;Middle Data Analyst в команду автоматизации HR;;;;От 1 года до 3 лет;Полный день;Полный день;большие объемы данных;Python;Hadoop;Анализ данных;BI дашборды;;;;;;;;;;;;;;;;;;;;;;;;;
399;Data Engineer;1000.0;2000.0;USD;От 1 года до 3 лет;Полный день;Полный день;SSIS;SQL;Python;SSRS;MS SQL Server;Power BI;SQL запросы;Базы данных;Tableau;ETL;Olap (online analytical processing);Big Data;Analytical skills;BI;Английский — B1 — Средний;;;;;;;;;;;;;;;
406;Software Engineer in Test (Python);;;;От 1 года до 3 лет;Полный день;Полный день;Python;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407;Разработчик Python (middle);;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Python;FastAPI;Docker;;;;;;;;;;;;;;;;;;;;;;;;;;;
411;Middle/+ Python разработчик (бэк, удаленно);1000.0;;EUR;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Python;Django Framework;Docker;scrapy;;;;;;;;;;;;;;;;;;;;;;;;;;
413;Data Scientist (ML Space);;;;От 1 года до 3 лет;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
417;Machine Learning Engineer / ML- разработчик;;;;От 1 года до 3 лет;Полный день;Полный день;Machine Learning;ML;Машинное обучение;SQL;Python;JavaScript;NodeJS;C/C++;Git;;;;;;;;;;;;;;;;;;;;;
420;Python-разработчик (Middle/Middle+);;;;От 1 года до 3 лет;Полный день;Полный день;Python;Django Framework;SQL;PostgreSQL;MySQL;;;;;;;;;;;;;;;;;;;;;;;;;
421;Junior Data Engineer;;;;От 1 года до 3 лет;Полный день;Полный день;Python;Hive;Hadoop;Аналитическое мышление;Spark;;;;;;;;;;;;;;;;;;;;;;;;;
423;DevOps инженер;180000.0;230000.0;RUR;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Linux;Bash;Docker;Python;Ansible;Gitlab CI;Grafana;Prometheus;;;;;;;;;;;;;;;;;;;;;;
426;Стажер отдела исследований кибербезопасности и разработки сценариев киберучений;;;;От 1 года до 3 лет;Гибкий график;Гибкий график;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
428;Product Analyst;1500.0;3000.0;USD;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Python;SQL;Data Analysis;Product Analysis;Английский язык;;;;;;;;;;;;;;;;;;;;;;;;;
429;Python Developer (Middle);80000.0;150000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;Git;Atlassian Jira;Работа в команде;;;;;;;;;;;;;;;;;;;;;;;;;;
431;Разработчик (Python);;;;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;;;;;;;;;;;;;;;;;;;;;;;;;;;;
432;Python Разработчик;;;;От 1 года до 3 лет;Полный день;Полный день;Git;PostgreSQL;RabbitMQ;Python;Atlassian Jira;;;;;;;;;;;;;;;;;;;;;;;;;
433;Программист Python;;;;От 1 года до 3 лет;Полный день;Полный день;Git;Python;Django Framework;Docker;Django;;;;;;;;;;;;;;;;;;;;;;;;;
435;Ведущий программист Python/Django/PostgreSQL;40000.0;50000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;Linux;HTML5;CSS;Git;JavaScript;PostgreSQL;Django Framework;Apache HTTP Server;Nginx;XML;;;;;;;;;;;;;;;;;;
436;Python разработчик уровня Middle / Middle+;130000.0;190000.0;RUR;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Python;Django;asyncio;aiohttp;Flask;;;;;;;;;;;;;;;;;;;;;;;;;
437;Программист (PHP/JS/Python);;;;От 1 года до 3 лет;Полный день;Полный день;PHP;js;Python;Git;SQL;Linux;Английский язык;;;;;;;;;;;;;;;;;;;;;;;
438;Разработчик PostgreSQL (удаленно);150000.0;180000.0;RUR;От 1 года до 3 лет;Удаленная работа;Удаленная работа;SQL;Python;PostgreSQL;Delphi;PL/SQL;Базы данных;PL/pgSQL;;;;;;;;;;;;;;;;;;;;;;;
439;Разработчик Python (MLOps Platform);;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Python;MLFlow;MLOps;Jupyterhub;terraform;Git;K8s;PyTorch;TensorFlow;Jupyter Notebook;;;;;;;;;;;;;;;;;;;;
441;Junior Python разработчик;;;;От 1 года до 3 лет;Полный день;Полный день;Пользователь ПК;Oracle CRM;Работа в условиях многозадачности;Работа с компьютером;SQL;Git;Docker;Rest APi;Python;Oracle DB;;;;;;;;;;;;;;;;;;;;
444;Data Analyst (ментор);100000.0;150000.0;KZT;От 1 года до 3 лет;Полный день;Полный день;SQL;Tableau;Python;Excel;Визуализация данных;Soft skills;Data Mining: Statistica;Ответственность;Data Analysis;Power BI;;;;;;;;;;;;;;;;;;;;
449;Исследователь/математик-программист;;;;От 1 года до 3 лет;Полный день;Полный день;Python;Статистический анализ;Linux;MATLAB;Математическое моделирование;;;;;;;;;;;;;;;;;;;;;;;;;
450;Специалист по машинному обучению в Поиск (команда подсказок);;;;От 1 года до 3 лет;Полный день;Полный день;C++;Алгоритмы и структуры данных;Machine learning;;;;;;;;;;;;;;;;;;;;;;;;;;;
451;Разработчик баз данных (PgSQL);;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;SQL;MS SQL;Python;PostgreSQL;CTE;JSON API;ORACLE;FastReport;;;;;;;;;;;;;;;;;;;;;;
452;Инженер-программист Python (Воронеж);;;;От 1 года до 3 лет;Полный день;Полный день;Python;PostgreSQL;Mercurial;C++;;;;;;;;;;;;;;;;;;;;;;;;;;
454;Python-разработчик;;;;От 1 года до 3 лет;Полный день;Полный день;Python;Django Framework;Git;PostgreSQL;Linux;ООП;;;;;;;;;;;;;;;;;;;;;;;;
455;Junior Python разработчик;60000.0;;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;MySQL;Git;SOAP;REST;Qt;Unix;;;;;;;;;;;;;;;;;;;;;;;
456;Программист Python/С++;;;;От 1 года до 3 лет;Полный день;Полный день;Python;Linux;C/C++;Английский язык;ARM;;;;;;;;;;;;;;;;;;;;;;;;;
459;Python Backend Developer (Junior/Remote);;150000.0;RUR;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Python;Django Framework;MySQL;Unit Testing;;;;;;;;;;;;;;;;;;;;;;;;;;
460;Программист;50000.0;;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;Docker;Java Script;API;Linux;Unix;;;;;;;;;;;;;;;;;;;;;;;;
462;Разработчик Python;;;;От 1 года до 3 лет;Полный день;Полный день;Linux;Git;Python;PostgreSQL;Django Framework;Flask;Jira;REST API;Docker;Docker-compose;REST;CI/CD;RabbitMQ;Celery;;;;;;;;;;;;;;;;
465;Backend-разработчик;150000.0;350000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;PostgreSQL;Golang;Kafka;API;SQL;Linux;Python;Docker;Backend;FastApi;MongoDB;Redis;;;;;;;;;;;;;;;;;;
466;Бэкенд-разработчик Python (Junior+);;;;От 1 года до 3 лет;Полный день;Полный день;Python;Git;PostgreSQL;ООП;Django Framework;;;;;;;;;;;;;;;;;;;;;;;;;
467;Python Web Developer;;;;От 1 года до 3 лет;Полный день;Полный день;Python;Linux;AWS;Алгоритмы;;;;;;;;;;;;;;;;;;;;;;;;;;
468;Разработчик нейронных сетей;30000.0;100000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;Git;SQL;Английский язык;;;;;;;;;;;;;;;;;;;;;;;;;;
470;Python разработчик уровня Middle / Middle+;130000.0;190000.0;RUR;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Python;Django;asyncio;aiohttp;Flask;;;;;;;;;;;;;;;;;;;;;;;;;
471;Middle/Senior Python разработчик (удаленно);;250000.0;RUR;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Python;Linux;Flask;SQL;ClickHouse;Nginx;C/C++;Dash;Plotly;Machine Learning;;;;;;;;;;;;;;;;;;;;
474;Data Engineer DWH;150000.0;200000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;ETL;DWH;SQL;;;;;;;;;;;;;;;;;;;;;;;;;;
478;Python developer;;;;От 1 года до 3 лет;Полный день;Полный день;Django Framework;Python;PostgreSQL;;;;;;;;;;;;;;;;;;;;;;;;;;;
479;Python developer (Middle);150000.0;;RUR;От 1 года до 3 лет;Полный день;Полный день;Jira;Scrum;Python;Soft skills;;;;;;;;;;;;;;;;;;;;;;;;;;
480;Middle Python разработчик;;;;От 1 года до 3 лет;Полный день;Полный день;Python;Git;Linux;PostgreSQL;SQL;;;;;;;;;;;;;;;;;;;;;;;;;
483;Middle Python разработчик (Django);160000.0;240000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;Django Framework;;;;;;;;;;;;;;;;;;;;;;;;;;;;
487;Python Developer;;;;От 1 года до 3 лет;Полный день;Полный день;Python;Git;ООП;Scrum;Docker;SOLID;;;;;;;;;;;;;;;;;;;;;;;;
490;Data Engineer;1000.0;2000.0;USD;От 1 года до 3 лет;Полный день;Полный день;SSIS;SQL;Python;SSRS;MS SQL Server;Power BI;SQL запросы;Базы данных;Tableau;ETL;Olap (online analytical processing);Big Data;Analytical skills;BI;Английский — B1 — Средний;;;;;;;;;;;;;;;
492;Developer Python;130000.0;;RUR;От 1 года до 3 лет;Полный день;Полный день;С++;GUI;Python;;;;;;;;;;;;;;;;;;;;;;;;;;;
494;DevOps and Database engineer;4000.0;5000.0;EUR;От 1 года до 3 лет;Полный день;Полный день;Python;PostgreSQL;Linux;Bash;Docker;Gitlab CI;Airflow;Superset;Kafka;Redis;Jupyter Hub;Clickhouse;;;;;;;;;;;;;;;;;;
495;Программист python, sql;;138000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;Linux;MS SQL;PostgreSQL;;;;;;;;;;;;;;;;;;;;;;;;;
496;Тестировщик ПО / QA engineer Python;;;;От 1 года до 3 лет;Полный день;Полный день;Linux;Python;SQL;Английский язык;Тестирование;;;;;;;;;;;;;;;;;;;;;;;;;
497;Аналитик (Data Analyst);;;;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;Power BI;Аналитическое мышление;;;;;;;;;;;;;;;;;;;;;;;;;;
506;Программист Python;105000.0;215000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
508;Python Developer (Middle);;;;От 1 года до 3 лет;Гибкий график;Гибкий график;Python;Django Framework;Английский язык;PostgreSQL;Git;FastAPI;SQLAlchemy;Redis;Celery;Flask;Kafka;;;;;;;;;;;;;;;;;;;
510;Разработчик Python (middle);;;;От 1 года до 3 лет;Полный день;Полный день;Python;PostgreSQL;Linux;SQL;Django Framework;C#;C++;Работа с базами данных;Pandas;;;;;;;;;;;;;;;;;;;;;
512;Python-разработчик систем сбора;100000.0;150000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Git;Linux;ООП;Python;;;;;;;;;;;;;;;;;;;;;;;;;;
514;Middle backend Developer(Python);;170000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;kubernetes;rancher;NLP/NLU;Unit тестирование;Docker;Git;RabbitMQ;;;;;;;;;;;;;;;;;;;;;;;
517;Python разработчик;;;;От 1 года до 3 лет;Полный день;Полный день;Git;Python;ООП;;;;;;;;;;;;;;;;;;;;;;;;;;;
518;Python разработчик уровня Middle / Middle+;130000.0;190000.0;RUR;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Python;Django;asyncio;aiohttp;Flask;;;;;;;;;;;;;;;;;;;;;;;;;
519;Python-разработчик;;;;От 1 года до 3 лет;Полный день;Полный день;Python;Django Framework;;;;;;;;;;;;;;;;;;;;;;;;;;;;
520;Middle Python (Typescript) Developer;140000.0;;RUR;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Git;Английский язык;Mac Os;Mac Software;Командная работа;Профессиональный пользователь ПК;Python;;;;;;;;;;;;;;;;;;;;;;;
522;Middle/Senior Python-разработчик;;400000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;PostgreSQL;RabbitMQ;Redis;Linux;;;;;;;;;;;;;;;;;;;;;;;;;
523;Python developer (удаленно);;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;ML;Python;;;;;;;;;;;;;;;;;;;;;;;;;;;;
526;Python Developer;;;;От 1 года до 3 лет;Гибкий график;Гибкий график;MS SQL;JS;Python;Transact-SQL;;;;;;;;;;;;;;;;;;;;;;;;;;
528;Программист python, sql;;138000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;Linux;MS SQL;PostgreSQL;;;;;;;;;;;;;;;;;;;;;;;;;
530;Программист-математик;;;;От 1 года до 3 лет;Полный день;Полный день;Python;Математическая статистика;Математический анализ;C/C++;Математическое моделирование;;;;;;;;;;;;;;;;;;;;;;;;;
533;Middle Python разработчик;;;;От 1 года до 3 лет;Полный день;Полный день;SQL;PostgreSQL;ClickHouse;Linux;asyncio;aiohttp;Python;;;;;;;;;;;;;;;;;;;;;;;
534;Backend-разработчик jun+/mid- (Golang);80000.0;160000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Golang;Linux;PostgreSQL;Docker;Python;;;;;;;;;;;;;;;;;;;;;;;;;
535;Аналитик SQL/Python;;;;От 1 года до 3 лет;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
537;Разработчик Go, Анализ текста (DS/NLP);;;;От 1 года до 3 лет;Полный день;Полный день;Data Science;NLP;Python;Golang;Data Analysis;;;;;;;;;;;;;;;;;;;;;;;;;
542;Python developer;10000000.0;;UZS;От 1 года до 3 лет;Полный день;Полный день;Python;PostgreSQL;Django Framework;Git;SQL;REST API;API;Базы данных;;;;;;;;;;;;;;;;;;;;;;
548;"Наставник на онлайн-курс ""Искусственный интеллект и основы аналитики данных""";;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Python;Аналитика;Big Data;Математическая статистика;;;;;;;;;;;;;;;;;;;;;;;;;;
550;Разработчик Python;;;;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;Linux;PostgreSQL;Git;;;;;;;;;;;;;;;;;;;;;;;;;
552;Python разработчик;;;;От 1 года до 3 лет;Полный день;Полный день;Python;NLP;ASR;data science;speech-to-text;компьютерное зрение;;;;;;;;;;;;;;;;;;;;;;;;
554;Data scientist (junior/middle), команда разработки портфельных моделей;;;;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;Английский язык;;;;;;;;;;;;;;;;;;;;;;;;;;;
555;Аналитик данных (QlikSense);;;;От 1 года до 3 лет;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
559;Data scientist, ML разработчик;180000.0;250000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;Git;Linux;SQL;PostgreSQL;Математический анализ;Теория вероятностей;Алгоритмы и структуры данных;Логика;Data Science;Deep Learning;Jupiter;Statistics;Аналитическое мышление;Машинное обучение;Tensorflow;PyTorch;Scikit-learn;Keras;ML;Data Analysis;Математическая статистика;Алгоритмы;;;;;;;
560;Инженер направления Big Data;;;;От 1 года до 3 лет;Полный день;Полный день;Linux;SQL;;;;;;;;;;;;;;;;;;;;;;;;;;;;
561;Разработчик Python и SQL;60000.0;;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;MS SQL;Docker-compose;Планирование карьеры;Базы данных;ORACLE;Опытный пользователь ПК;Знание Excel;;;;;;;;;;;;;;;;;;;;;
562;Python developer;;;;От 1 года до 3 лет;Полный день;Полный день;Python;Git;PostgreSQL;aiohttp;RabbitMQ;asyncio;WebSocket;FastAPI;SQLAlchemy;;;;;;;;;;;;;;;;;;;;;
565;Python-разработчик (django);;;;От 1 года до 3 лет;Полный день;Полный день;Python;PostgreSQL;Django Framework;Git;REST;API;DRF;;;;;;;;;;;;;;;;;;;;;;;
571;Junior Analyst;;;;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;Аналитическое мышление;Анализ данных;;;;;;;;;;;;;;;;;;;;;;;;;;
573;Python Программист (игровой бот);;;;От 1 года до 3 лет;Полный день;Полный день;Python;Git;Atlassian Jira;Работа в команде;;;;;;;;;;;;;;;;;;;;;;;;;;
574;Data Analyst (mobile);;;;От 1 года до 3 лет;Полный день;Полный день;Tableau;Python;SQL;Английский язык;Анализ данных;MS Excel;;;;;;;;;;;;;;;;;;;;;;;;
576;Python программист (Наставник онлайн-курса по Python);;80000.0;RUR;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Python;Django Framework;Django;Flask;;;;;;;;;;;;;;;;;;;;;;;;;;
580;Python developer (FastApi);;;;От 1 года до 3 лет;Полный день;Полный день;Git;PostgreSQL;RabbitMQ;FastApi;Python;aiohttp;asyncio;sqlAlchemy;;;;;;;;;;;;;;;;;;;;;;
583;Server Programmer (Python);;;;От 1 года до 3 лет;Полный день;Полный день;Python;C++;Разработка компьютерных Игр;;;;;;;;;;;;;;;;;;;;;;;;;;;
584;Разработчик ИСУ (SQL/Python);66000.0;;RUR;От 1 года до 3 лет;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
586;Backend разработчик (Python);150000.0;;RUR;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Python;Linux;Git;Django Framework;;;;;;;;;;;;;;;;;;;;;;;;;;
587;Разработчик Python;;;;От 1 года до 3 лет;Полный день;Полный день;Python;Git;SQL;;;;;;;;;;;;;;;;;;;;;;;;;;;
592;Python Developer;;;;От 1 года до 3 лет;Полный день;Полный день;Python;MySQL;ООП;Базы данных;Linux;Django Framework;Flask;Парсинг данных;;;;;;;;;;;;;;;;;;;;;;
594;Python developer;;;;От 1 года до 3 лет;Полный день;Полный день;Python;Redis;Git;Linux;MySQL;;;;;;;;;;;;;;;;;;;;;;;;;
596;Разработчик программного обеспечения (Python);110000.0;140000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;Qt(PyQt);Библиотеки;Чтение и написание документации;Сетевой стек;Математика;Командная строка Linux;C/C++;ARM Cortex M;СКАДА системы;DevOps;ПЛИС Xilinx;;;;;;;;;;;;;;;;;
598;Python разработчик;;;;От 1 года до 3 лет;Полный день;Полный день;Python;Linux;Git;ООП;Docker;;;;;;;;;;;;;;;;;;;;;;;;;
599;Python Middle developer департамент Интеграции (MTS AI);;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;Git;Python;Работа с базами данных;RabbitMQ;Микросервисная архитектура;;;;;;;;;;;;;;;;;;;;;;;;;
600;Data-аналитик;;;;От 1 года до 3 лет;Полный день;Полный день;Power BI;SQL;Анализ данных;MS PowerPoint;Python;Базы данных;Алгоритмы;Прогнозирование;Аналитическое мышление;Аналитика;Qlik Sense;;;;;;;;;;;;;;;;;;;
601;Middle Python Developer;70000.0;;RUR;От 1 года до 3 лет;Полный день;Полный день;Git;Организация мероприятий для сотрудников;Английский язык;Оптимизация кода;Управление временем;PostgreSQL;MongoDB;Django;Backend;Python;Асинхронное программирование;Docker-compose;MySQL;;;;;;;;;;;;;;;;;
602;Системный программист (Linux);180000.0;;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;Linux;XML;C/C++;Администрирование серверов Linux;Системы контроля версий;;;;;;;;;;;;;;;;;;;;;;;;
606;Аналитик SOC 2 линии;;;;От 1 года до 3 лет;Полный день;Полный день;SIEM;расследование инцидентов;IRP;ArcSight;Python;Bash;PowerShell;SOC;;;;;;;;;;;;;;;;;;;;;;
607;Data Engineer;;;;От 1 года до 3 лет;Удаленная работа;Удаленная работа;PostgreSQL;Python;SQL;;;;;;;;;;;;;;;;;;;;;;;;;;;
609;Разработчик Python (ETL);;;;От 1 года до 3 лет;Полный день;Полный день;Linux;Git;PostgreSQL;Python;Spark;Kubernetes;;;;;;;;;;;;;;;;;;;;;;;;
610;Разработчик Python (ETL);;;;От 1 года до 3 лет;Полный день;Полный день;Linux;Git;PostgreSQL;Python;Spark;Kubernetes;;;;;;;;;;;;;;;;;;;;;;;;
612;Аналитик данных (Junior\Middle);60000.0;;RUR;От 1 года до 3 лет;Полный день;Полный день;Python;SQL;Pandas;Анализ данных;Математическая статистика;Grafana;prometheus;Теория вероятностей;Git;;;;;;;;;;;;;;;;;;;;;
616;Junior backend разработчик (Python, PostgreSQL);;;;От 1 года до 3 лет;Полный день;Полный день;HTML;Python;JavaScript;Linux;SQL;;;;;;;;;;;;;;;;;;;;;;;;;
617;Главный программист Python/Django/PostgreSQL;50000.0;60000.0;RUR;От 1 года до 3 лет;Полный день;Полный день;SQL;Python;JavaScript;PostgreSQL;Django Framework;Linux;HTML5;Apache HTTP Server;Nginx;XML;Git;CSS;Базы данных;HTML;HTTP;СУБД;;;;;;;;;;;;;;
618;Педагог дополнительного образования (программирование на Python);;;;От 1 года до 3 лет;Гибкий график;Гибкий график;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
619;Инженер-программист / Системный инженер;80000.0;;RUR;От 1 года до 3 лет;Полный день;Полный день;АСУ;Python;Bash;Готовность к командировкам;;;;;;;;;;;;;;;;;;;;;;;;;;
623;Эконометрист/Data scientist (Junior/Middle) в консалтинг;40000.0;;RUR;От 1 года до 3 лет;Полный день;Полный день;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
626;Программист Python;;;;От 1 года до 3 лет;Полный день;Полный день;Python;Git;ООП;Boost;C++;Qt;GoogleTest;Python unittest;PyTest;;;;;;;;;;;;;;;;;;;;;
